Tau,firm,AR,SAR
-10,Shuttle,-1.9239,-0.5198
-9,Shuttle,2.5319,0.7008
-8,Shuttle,-0.2841,-0.0776
-7,Shuttle,-1.0147,-0.2778
-6,Shuttle,-2.1853,-0.6046
-5,Shuttle,-4.648,-1.2841
-4,Shuttle,-3.784,-1.0474
-3,Shuttle,1.3638,0.3771
-2,Shuttle,1.3534,0.3732
-1,Shuttle,-3.7011,-1.0215
0,Shuttle,1.6997,0.4702
1,Shuttle,8.4899,2.3475
2,Shuttle,-0.782,-0.2164
3,Shuttle,-2.3975,-0.6636
4,Shuttle,0.5132,0.142
5,Shuttle,-3.355,-0.9143
6,Shuttle,0.41,0.1134
7,Shuttle,-1.7351,-0.4759
8,Shuttle,0.3875,0.1044
9,Shuttle,-3.4634,-0.9533
10,Shuttle,-5.7879,-1.5844
-10,InterServ,0.5766,0.1502
-9,InterServ,2.0287,0.5413
-8,InterServ,0.6515,0.1716
-7,InterServ,0.8004,0.2112
-6,InterServ,-2.0002,-0.5335
-5,InterServ,-0.9162,-0.244
-4,InterServ,5.1885,1.3845
-3,InterServ,-6.5765,-1.7532
-2,InterServ,1.9036,0.5061
-1,InterServ,1.543,0.4105
0,InterServ,-1.5836,-0.4224
1,InterServ,6.171,1.6449
2,InterServ,-5.1689,-1.3787
3,InterServ,-1.2028,-0.321
4,InterServ,-1.2715,-0.3392
5,InterServ,0.488,0.1282
6,InterServ,1.0881,0.2902
7,InterServ,-0.3436,-0.0908
8,InterServ,1.2613,0.3277
9,InterServ,1.2247,0.325
10,InterServ,0.3953,0.1043
-10,Walsin,-0.1156,-0.0627
-9,Walsin,-1.251,-0.677
-8,Walsin,-0.0884,-0.0479
-7,Walsin,-0.2771,-0.1499
-6,Walsin,-0.9618,-0.5213
-5,Walsin,-0.3697,-0.2004
-4,Walsin,-0.8124,-0.4381
-3,Walsin,-0.0256,-0.0139
-2,Walsin,-0.7981,-0.4318
-1,Walsin,0.4853,0.263
0,Walsin,-0.3177,-0.1722
1,Walsin,1.2331,0.6674
2,Walsin,-2.16,-1.1704
3,Walsin,2.5077,1.3588
4,Walsin,0.4209,0.228
5,Walsin,3.2527,1.7631
6,Walsin,1.7583,0.9516
7,Walsin,-2.0073,-1.0863
8,Walsin,-1.6857,-0.9132
9,Walsin,0.5169,0.2802
10,Walsin,7.6117,4.1202
-10,Teco (1),0.4411,0.3134
-9,Teco (1),-0.1948,-0.1382
-8,Teco (1),-0.747,-0.5308
-7,Teco (1),0.2281,0.1618
-6,Teco (1),-0.7644,-0.5432
-5,Teco (1),-0.2111,-0.15
-4,Teco (1),0.6058,0.4283
-3,Teco (1),-1.4992,-1.0654
-2,Teco (1),-0.7474,-0.5301
-1,Teco (1),-0.2427,-0.1724
